电影名称,英文名称,评分,上映状态,上线时间,上线地区,类型,电影链接,图片链接,导演信息
绝地双尊,Double Impact,0.0,已上映,1991-08-09,美国,动作,http://movie.mtime.com/20020,http://img31.mtime.cn/mt/2014/02/23/004625.33750590_1280X720X2.jpg,"{""导演名称"": """", ""导演英文名称"": ""Sheldon Lettich"", ""导演图片链接"": ""http://img31.mtime.cn/ph/1157/899157/899157_1280X720X2.jpg""}"
南瓜恶灵,Pumpkinhead,0.0,已上映,1989-01-13,美国,恐怖,http://movie.mtime.com/20001,http://img31.mtime.cn/mt/2014/02/23/004612.87380620_1280X720X2.jpg,"{""导演名称"": ""斯坦·温斯顿"", ""导演英文名称"": ""Stan Winston"", ""导演图片链接"": ""http://img5.mtime.cn/ph/2017/04/07/093245.39586524_1280X720X2.jpg""}"
谍网雄风,Night Watch,0.0,已上映,1995-10-04,美国,"动作, 惊悚",http://movie.mtime.com/20038,http://img31.mtime.cn/mt/2014/02/23/004639.22689928_1280X720X2.jpg,"{""导演名称"": ""大卫·杰克逊"", ""导演英文名称"": ""David Jackson"", ""导演图片链接"": ""http://img31.mtime.cn/ph/182/902182/902182_1280X720X2.jpg""}"
迷雾追魂,Play Misty for Me,0.0,已上映,1971-11-03,美国,"惊悚, 恐怖",http://movie.mtime.com/20018,http://img31.mtime.cn/mt/2014/02/23/004621.95847923_1280X720X2.jpg,"{""导演名称"": ""克林特·伊斯特伍德"", ""导演英文名称"": ""Clint Eastwood"", ""导演图片链接"": ""http://img31.mtime.cn/ph/2015/05/29/164818.21183776_1280X720X2.jpg""}"
情同手足黑猩猩,Among the Wild Chimpanzees,0.0,已上映,,,纪录片,http://movie.mtime.com/20041,http://img31.mtime.cn/mt/2014/02/23/004640.98230098_1280X720X2.jpg,"{""导演名称"": """", ""导演英文名称"": """", ""导演图片链接"": """"}"
黑暗地平线,Blind Horizon,0.0,已上映,2003-12-16,德国,"惊悚, 剧情, 悬疑",http://movie.mtime.com/20024,http://img5.mtime.cn/mt/2017/08/03/005345.62803125_1280X720X2.jpg,"{""导演名称"": """", ""导演英文名称"": ""Michael Haussman"", ""导演图片链接"": ""http://img31.mtime.cn/ph/1532/905532/905532_1280X720X2.jpg""}"
致命距离,Striking Distance,6.8,已上映,1993-09-17,美国,"动作, 惊悚, 悬疑",http://movie.mtime.com/20031,http://img31.mtime.cn/mt/2014/02/23/004636.29291772_1280X720X2.jpg,"{""导演名称"": ""劳迪·海灵顿"", ""导演英文名称"": ""Rowdy Herrington"", ""导演图片链接"": ""http://img31.mtime.cn/ph/1571/899571/899571_1280X720X2.jpg""}"
蓝色霹雳,Blue Thunder,0.0,已上映,1983-02-05,西德,"动作, 剧情, 犯罪",http://movie.mtime.com/20016,http://img31.mtime.cn/mt/2014/02/23/004621.73490660_1280X720X2.jpg,"{""导演名称"": ""约翰·班德汉姆"", ""导演英文名称"": ""John Badham"", ""导演图片链接"": ""http://img31.mtime.cn/ph/2014/02/22/193404.48058188_1280X720X2.jpg""}"
,Filament,0.0,已上映,2002-07-07,捷克,,http://movie.mtime.com/20034,http://img31.mtime.cn/mt/2014/02/23/004636.98733850_1280X720X2.jpg,"{""导演名称"": ""辻仁成"", ""导演英文名称"": ""Jinsei Tsuji"", ""导演图片链接"": ""http://img31.mtime.cn/ph/2014/02/22/193939.70168590_1280X720X2.jpg""}"
勇敢新女孩,Brave New Girl,0.0,已上映,2004-04-25,美国,家庭,http://movie.mtime.com/20039,http://img31.mtime.cn/mt/2014/02/23/004639.30168270_1280X720X2.jpg,"{""导演名称"": ""鲍比·罗斯"", ""导演英文名称"": ""Bobby Roth"", ""导演图片链接"": ""http://img5.mtime.cn/ph/2019/09/25/165950.55629027_1280X720X2.jpg""}"
天妖归来,The Unnamable II: The Statement of Randolph Carter,0.0,已上映,,,恐怖,http://movie.mtime.com/20076,,"{""导演名称"": """", ""导演英文名称"": ""Jean-Paul Ouellette"", ""导演图片链接"": ""http://img31.mtime.cn/ph/1760/907760/907760_1280X720X2.jpg""}"
妙探狗福星,K-9,0.0,已上映,1989-04-28,美国,"动作, 犯罪, 喜剧",http://movie.mtime.com/20065,http://img31.mtime.cn/mt/2014/02/23/004655.45784013_1280X720X2.jpg,"{""导演名称"": """", ""导演英文名称"": ""Rod Daniel"", ""导演图片链接"": ""http://img31.mtime.cn/ph/1183/901183/901183_1280X720X2.jpg""}"
花木兰2,Mulan II,6.0,已上映,2005-01-31,美国,"动画, 动作, 家庭, 歌舞",http://movie.mtime.com/20002,http://img31.mtime.cn/mt/2014/02/23/004614.12944933_1280X720X2.jpg,"{""导演名称"": """", ""导演英文名称"": ""Darrell Rooney"", ""导演图片链接"": ""http://img31.mtime.cn/ph/1784/899784/899784_1280X720X2.jpg""}"
我们,Wir,0.0,已上映,2003-01-15,德国,剧情,http://movie.mtime.com/20087,http://img31.mtime.cn/mt/2014/02/23/004707.41860119_1280X720X2.jpg,"{""导演名称"": """", ""导演英文名称"": ""Martin Gypkens"", ""导演图片链接"": ""http://img31.mtime.cn/ph/1771/907771/907771_1280X720X2.jpg""}"
